Variable Name,procedure_occurrence_id,person_id,procedure_concept_id,procedure_date,procedure_type_concept_id,procedure_source_value,visit_occurrence_id
Identifier,procedure_occurrence_id,,,,,,
Description,Surrogate primary key,Foreign key to person,OMOP procedure concept ID mapped from CPT4 source code,Date of procedure (YYYY-MM-DD),OMOP procedure type concept ID (32817=EHR),Source CPT4 procedure code,Foreign key to visit_occurrence
Type,Integer,Integer,Integer,Date,Integer,String,Integer
Type Parameters,,,,,,,
Units,,,,,,,
Contains Sensitive Data?,False,False,False,False,False,False,False
Permissions,default,default,default,default,default,default,default
