Variable Name,visit_occurrence_id,person_id,visit_concept_id,visit_start_date,visit_end_date,visit_type_concept_id,visit_source_value
Identifier,visit_occurrence_id,,,,,,
Description,Surrogate primary key,Foreign key to person,OMOP visit concept ID (9202=Outpatient 9201=Inpatient 9203=Emergency),Start date of the visit (YYYY-MM-DD),End date of the visit (YYYY-MM-DD),OMOP visit type concept ID (32817=EHR),Source visit identifier
Type,Integer,Integer,Integer,Date,Date,Integer,String
Type Parameters,,,,,,,
Units,,,,,,,
Contains Sensitive Data?,False,False,False,False,False,False,False
Permissions,default,default,default,default,default,default,default
